,Date,Value
602,2017-08-25,4363.05445
603,2017-08-26,4360.51331667
604,2017-08-27,4354.30833333
605,2017-08-28,4391.67351667
606,2017-08-29,4607.98545
607,2017-08-30,4594.98785
608,2017-08-31,4748.255
609,2017-09-01,4911.74001667
610,2017-09-02,4580.387479999999
611,2017-09-03,4648.15998333
612,2017-09-04,4344.09831667
613,2017-09-05,4488.720139999999
614,2017-09-06,4641.82201667
615,2017-09-07,4654.6585
616,2017-09-08,4310.75018333
617,2017-09-09,4375.559520000001
618,2017-09-10,4329.955
619,2017-09-11,4248.09001667
620,2017-09-12,4219.03661667
621,2017-09-13,3961.27126667
622,2017-09-14,3319.63
623,2017-09-15,3774.26528333
624,2017-09-16,3763.6260399999996
625,2017-09-17,3746.06078333
626,2017-09-18,4093.31666667
627,2017-09-19,3943.41333333
628,2017-09-20,3977.56166667
629,2017-09-21,3658.89818333
630,2017-09-22,3637.50255
631,2017-09-23,3776.3869
632,2017-09-24,3703.04065
633,2017-09-25,3942.555
634,2017-09-26,3910.30738333
635,2017-09-27,4202.55498333
636,2017-09-28,4201.98905
637,2017-09-29,4193.57466667
638,2017-09-30,4335.36831667
639,2017-10-01,4360.72296667
640,2017-10-02,4386.88375
641,2017-10-03,4293.3066
642,2017-10-04,4225.175
643,2017-10-05,4338.852
644,2017-10-06,4345.60333333
645,2017-10-07,4376.19166667
646,2017-10-08,4602.28088333
647,2017-10-09,4777.96781667
648,2017-10-10,4782.28
649,2017-10-11,4819.48576667
650,2017-10-12,5325.13068333
651,2017-10-13,5563.80656667
652,2017-10-14,5739.43873333
653,2017-10-15,5647.31166667
654,2017-10-16,5711.20586667
655,2017-10-17,5603.712939999999
656,2017-10-18,5546.1761
657,2017-10-19,5727.6335
658,2017-10-20,5979.4598399999995
659,2017-10-21,6020.37168333
660,2017-10-22,5983.18455
661,2017-10-23,5876.07986667
662,2017-10-24,5505.82776667
663,2017-10-25,5669.62253333
664,2017-10-26,5893.13841667
665,2017-10-27,5772.50498333
666,2017-10-28,5776.69695
667,2017-10-29,6155.434020000001
668,2017-10-30,6105.874220000001
669,2017-10-31,6388.64516667
670,2017-11-01,6665.30668333
671,2017-11-02,7068.0201
672,2017-11-03,7197.72006
673,2017-11-04,7437.54331667
674,2017-11-05,7377.01236667
675,2017-11-06,6989.07166667
676,2017-11-07,7092.12723333
677,2017-11-08,7415.87825
678,2017-11-09,7158.03706
679,2017-11-10,6719.39785
680,2017-11-11,6362.85103333
681,2017-11-12,5716.30158333
682,2017-11-13,6550.22753333
683,2017-11-14,6635.41263333
684,2017-11-15,7301.4299200000005
685,2017-11-16,7815.0307
686,2017-11-17,7786.88436667
687,2017-11-18,7817.14038333
688,2017-11-19,8007.65406667
689,2017-11-20,8255.59681667
690,2017-11-21,8059.8
691,2017-11-22,8268.035
692,2017-11-23,8148.95
693,2017-11-24,8250.97833333
694,2017-11-25,8707.40726667
695,2017-11-26,9284.1438
696,2017-11-27,9718.29505
697,2017-11-28,9952.508820000001
698,2017-11-29,9879.32833333
699,2017-11-30,10147.372
700,2017-12-01,10883.912
701,2017-12-02,11071.368333299999
702,2017-12-03,11332.622
703,2017-12-04,11584.83
704,2017-12-05,11878.4333333
705,2017-12-06,13540.98
706,2017-12-07,16501.9716667
707,2017-12-08,16007.4366667
708,2017-12-09,15142.8341521
709,2017-12-10,14869.805
710,2017-12-11,16762.1166667
711,2017-12-12,17276.3933333
712,2017-12-13,16808.3666667
713,2017-12-14,16678.892
714,2017-12-15,17771.9
715,2017-12-16,19498.6833333
716,2017-12-17,19289.785
717,2017-12-18,18961.8566667
718,2017-12-19,17737.1116667
719,2017-12-20,16026.2716667
720,2017-12-21,16047.51
721,2017-12-22,15190.945
722,2017-12-23,15360.2616667
723,2017-12-24,13949.175
724,2017-12-25,14119.0283333
725,2017-12-26,15999.048333300001
726,2017-12-27,15589.3216667
727,2017-12-28,14380.5816667
728,2017-12-29,14640.14
729,2017-12-30,13215.573999999999
730,2017-12-31,14165.575
731,2018-01-01,13812.1866667
732,2018-01-02,15005.8566667
733,2018-01-03,15053.2616667
734,2018-01-04,15199.355
735,2018-01-05,17174.12
736,2018-01-06,17319.198
737,2018-01-07,16651.4716667
738,2018-01-08,15265.906666699999
